From	To
Q14534	SQLE
P48449	LSS
P51449	RORC
Q12772	SREBF2
Q9UHC9	NPC1L1
P10275	AR
Q13133	NR1H3
P05093	CYP17A1
P04035	HMGCR
Q16850	CYP51A1
P35398	RORA
P08172	CHRM2
P11413	G6PD
Q14994	NR1I3
Q07869	PPARA
Q03181	PPARD
P33261	CYP2C19
Q08499	PDE4D
P10586	PTPRF
P17706	PTPN2
P24666	ACP1
O60218	AKR1B10
P08185	SERPINA6
P55055	NR1H2
P29350	PTPN6
P60033	CD81
P28845	HSD11B1
P16662	UGT2B7
Q12908	SLC10A2
P08173	CHRM4
P28472	GABRB3
P18507	GABRG2
P31644	GABRA5
Q8WWL7	CCNB3
O95067	CCNB2
P15538	CYP11B1
P19099	CYP11B2
P49810	PSEN2
Q9NZ42	PSENEN
Q92542	NCSTN
Q96BI3	APH1A
P49768	PSEN1
Q8WW43	APH1B
P09601	HMOX1
P08684	CYP3A4
Q9H2K2	TNKS2
O95271	TNKS
Q15349	RPS6KA2
P09668	CTSH
P53634	CTSC
Q9UBX1	CTSF
P25774	CTSS
O60911	CTSV
P53779	MAPK10
P05164	MPO
Q00975	CACNA1B
P50613	CDK7
P51946	CCNH
Q99572	P2RX7
P34903	GABRA3
P14867	GABRA1
P47869	GABRA2
Q9Y6K1	DNMT3A
P42574	CASP3
P09211	GSTP1
O00519	FAAH
P07858	CTSB
Q16445	GABRA6
P30281	CCND3
P30279	CCND2
P04406	GAPDH
P29275	ADORA2B
P35610	SOAT1
O43613	HCRTR1
O15554	KCNN4
Q13946	PDE7A
P08236	GUSB
Q02083	NAAA
P49682	CXCR3
P24557	TBXAS1
P24863	CCNC
P49336	CDK8
P05362	ICAM1
P19320	VCAM1
P16581	SELE
P45984	MAPK9
P07333	CSF1R
P49798	RGS4
P21730	C5AR1
P11473	VDR
P18825	ADRA2C
P09884	POLA1
P08908	HTR1A
O95069	KCNK2
Q05469	LIPE
Q12809	KCNH2
P43681	CHRNA4
P07477	PRSS1
Q8NG68	TTL
P06401	PGR
P17252	PRKCA
Q05655	PRKCD
Q02156	PRKCE
Q53EL6	PDCD4
P54707	ATP12A
P41252	IARS1
P30307	CDC25C
P08183	ABCB1
Q16549	PCSK7
P50406	HTR6
P07099	EPHX1
P01584	IL1B
Q07817	BCL2L1
Q8WZA2	RAPGEF4
P07711	CTSL
P51681	CCR5
P40763	STAT3
Q9Y2T6	GPR55
Q92793	CREBBP
P31213	SRD5A2
O14980	XPO1
P52895	AKR1C2
Q04828	AKR1C1
P27986	PIK3R1
Q99685	MGLL
P34998	CRHR1
P30536	TSPO
P02753	RBP4
Q99558	MAP3K14
P34972	CNR2
P53671	LIMK2
P14222	PRF1
P10721	KIT
P50750	CDK9
P23458	JAK1
O00763	ACACB
Q05397	PTK2
O60674	JAK2
O14920	IKBKB
O15111	CHUK
Q9UKE5	TNIK
P52333	JAK3
P11229	CHRM1
P05771	PRKCB
P04150	NR3C1
P21554	CNR1
Q14164	IKBKE
P13807	GYS1
Q9UHD2	TBK1
O60725	ICMT
P18405	SRD5A1
Q99720	SIGMAR1
O75469	NR1I2
O75762	TRPA1
Q8NER1	TRPV1
P07148	FABP1
P08235	NR3C2
P07327	ADH1A
P00326	ADH1C
Q99500	S1PR3
P21453	S1PR1
Q15759	MAPK11
P28223	HTR2A
P50747	HLCS
P24723	PRKCH
Q06124	PTPN11
P32245	MC4R
Q13255	GRM1
P13726	F3
O43614	HCRTR2
Q9Y5N1	HRH3
P36897	TGFBR1
Q14330	GPR18
P34969	HTR7
Q9Y5Y4	PTGDR2
P04798	CYP1A1
P21452	TACR2
P34913	EPHX2
Q16572	SLC18A3
P12314	FCGR1A
