gene	type
CTU1	im_GMK
CD1D	im_GMK
ZNF787	im_GMK
KIR2DL2	im_GMK
STARD13	im_GMK
SRRT	im_GMK
ATP2C1	im_GMK
CC2D2B	im_GMK
SPOCD1	im_GMK
HEBP1	im_GMK
UBQLN4	im_GMK
CPNE1	im_GMK
GTF2IRD2B	im_GMK
BRINP3	im_GMK
C9orf37	im_GMK
CHD1L	im_GMK
GJB2	im_GMK
UGGT2	im_GMK
C14orf169	im_GMK
TONSL	im_GMK
LOC101927285	im_GMK
ATG16L1	im_GMK
GDF1	im_GMK
LPAR1	im_GMK
C1orf115	im_GMK
LOC646014	im_GMK
SLC22A13	im_GMK
ATP6V1D	im_GMK
CNST	im_GMK
APOE	im_GMK
FBN3	im_GMK
ISG20	im_GMK
AVIL	im_GMK
NAA25	im_GMK
LBH	im_GMK
SUSD3	im_GMK
LOC730338	im_GMK
MMACHC	im_GMK
IKZF2	im_GMK
WDR5	im_GMK
NOP2	im_GMK
HSPA9	im_GMK
ZNF835	im_GMK
MVB12B	im_GMK
CELSR1	im_GMK
NKAPL	im_GMK
TBC1D10A	im_GMK
ZNF219	im_GMK
TMEM191B	im_GMK
ZNF804A	im_GMK
EHBP1	im_GMK
REXO4	im_GMK
GRK6	im_GMK
ZNF395	im_GMK
ANKEF1	im_GMK
ST13	im_GMK
AMH	im_GMK
TAB1	im_GMK
TTLL4	im_GMK
ACP2	im_GMK
RIPK3	im_GMK
TCHHL1	im_GMK
RANGRF	im_GMK
JADE3	im_GMK
BOD1	im_GMK
ZNF837	im_GMK
KDR	im_GMK
UBE2Q1	im_GMK
MACC1	im_GMK
CD8A	im_GMK
PCSK7	im_GMK
TNNC1	im_GMK
RGS20	im_GMK
RNF125	im_GMK
CIRH1A	im_GMK
ASPH	im_GMK
CCRL2	im_GMK
ZNF697	im_GMK
SF3B3	im_GMK
HELZ2	im_GMK
ZAR1L	im_GMK
MTA1	im_GMK
ORAI2	im_GMK
OR4D10	im_GMK
TRERF1	im_GMK
LOC101928290	im_GMK
SRF	im_GMK
ZNF714	im_GMK
HMOX2	im_GMK
ATP2B3	im_GMK
SCAND1	im_GMK
LGALS12	im_GMK
SH3TC1	im_GMK
PLA2G15	im_GMK
DCSTAMP	im_GMK
SAMD3	im_GMK
UBD	im_GMK
MYADM	im_GMK
PYGO2	im_GMK
TMEM105	im_GMK
ZNF286B	im_GMK
TOE1	im_GMK
LOC400590	im_GMK
MTF1	im_GMK
CLC	im_GMK
ASB11	im_GMK
TTC30A	im_GMK
C22orf24	im_GMK
ELMOD2	im_GMK
GOLT1B	im_GMK
DOCK3	im_GMK
FAM49B	im_GMK
GALNT11	im_GMK
FABP4	im_GMK
LAMA4	im_GMK
DLG4	im_GMK
LACTB2	im_GMK
SLC35F2	im_GMK
NELL2	im_GMK
DPP4	im_GMK
MIPEP	im_GMK
LOC643201	im_GMK
C11orf68	im_GMK
DPYD	im_GMK
CEACAM1	im_GMK
NIPAL3	im_GMK
LYPD3	im_GMK
LAG3	im_GMK
P2RX3	im_GMK
ELK1	im_GMK
SLC4A10	im_GMK
FBXL18	im_GMK
TMEM151A	im_GMK
FBLN2	im_GMK
TMEM201	im_GMK
SHISA4	im_GMK
TMEM91	im_GMK
NFKB2	im_GMK
ARL1	im_GMK
TLDC2	im_GMK
PDCD2	im_GMK
IL15RA	im_GMK
SDC1	im_GMK
TP53I11	im_GMK
CBR4	im_GMK
FAM78A	im_GMK
ING1	im_GMK
WRAP53	im_GMK
UEVLD	im_GMK
MCF2L	im_GMK
SLC30A6	im_GMK
TRADD	im_GMK
FAM120AOS	im_GMK
POTEM	im_GMK
WDR6	im_GMK
SP9	im_GMK
TRPC6	im_GMK
LOC100129111	im_GMK
APOC1	im_GMK
TRPM2	im_GMK
ACBD4	im_GMK
PSMD12	im_GMK
